cost,skills,user_id,user_name
10.0,"['video services', 'after effects', 'videography']",883.0,w0880
10.0,"['classifieds posting', 'internet marketing', 'leads', 'advertising', 'marketing']",1608.0,w1596
35.0,"['video services', 'animation', 'flash', 'after effects', 'graphic design']",6.0,w0006
12.0,"['animation', 'video services', '3d animation', 'after effects', 'videography']",66.0,w0066
15.0,"['3d animation', 'animation', 'after effects', 'video services', '3d modelling']",223.0,w0222
65.0,"['voice talent', 'animation', 'video services', 'audio services', 'flash']",33.0,w0033
17.0,['python'],1212.0,w1208
50.0,"['electrical engineering', 'matlab &amp; mathematica', 'electronics', 'pcb layout', 'microcontroller']",138.0,w0137
40.0,"['video services', '3d animation', 'voice talent', 'animation', 'audio services']",373.0,w0372
6.0,"['link building', 'seo', 'internet marketing', 'marketing', 'advertising']",11.0,w0011
