skill,skill_id,valuation
t00,0,15.351740111396154
t01,1,4.570090901866974
t02,2,16.577036659248634
t03,3,3.7747752230963267
t04,4,13.498614368758727
t05,5,14.557943414121228
t06,6,7.532522141420101
t07,7,9.046949743120699
t08,8,19.343264546910948
t09,9,4.921483590527952
t10,10,16.112115161501197
t11,11,17.15663556195287
t12,12,12.481686071152076
t13,13,12.273032056810953
t14,14,9.412523654717445
t15,15,19.191548356996424
t16,16,14.381551106523908
t17,17,19.014939809453804
t18,18,14.88196127031098
t19,19,18.31724915344003
