skill,skill_id,valuation
korean,87,7
polish,115,5
creative writing,45,7
arduino,18,5
oracle,106,3
embedded software,60,7
typography,151,7
unity 3d,152,7
electronic forms,57,4
covers &amp; packaging,44,5
japanese,82,9
telecommunications engineering,146,8
bootstrap,28,4
concept design,41,2
latex,88,6
virtuemart,159,7
ruby on rails,127,5
german,70,6
robotics,126,7
customer support,47,9
forum posting,68,6
arabic,17,5
telemarketing,147,7
user interface / ia,154,10
amazon web services,12,8
xxx,173,6
invitation design,79,6
simplified chinese (china),134,6
swedish,142,8
microsoft exchange,102,3
indesign,77,7
photo editing,110,4
music,104,10
unix,153,7
autocad,24,10
social networking,135,6
ebooks,53,6
3d animation,1,7
sem / adwords,130,8
microcontroller,100,5
business analysis,31,6
windows server,169,7
after effects,9,8
electrical engineering,56,9
3ds max,4,5
website management,167,4
script install,129,3
voice talent,161,4
brochure design,29,7
transcription,148,6
editing,55,7
metatrader,99,6
c# programming,35,6
c++ programming,36,10
apache,16,6
database administration,50,10
copy typing,42,5
ipad,80,7
photoshop design,113,7
greek,73,3
electronics,58,6
pcb layout,107,5
pdf,108,11
delphi,51,5
flash,66,6
ecommerce,54,6
web hosting,163,5
ghostwriting,71,6
research,124,7
audio services,23,4
flyer design,67,4
psd to html,122,10
email marketing,59,9
3d rendering,3,5
link building,90,6
mathematics,96,11
proofreading,121,5
perl,109,3
cad/cam,37,8
word,170,7
visual basic,160,6
engineering,61,7
drupal,52,4
ajax,10,11
actionscript,7,8
voip,162,7
magento,94,5
statistics,141,4
mechanical engineering,98,6
mac os,93,5
asp,21,7
java,83,4
stationery design,140,5
project management,120,9
business plans,33,8
accounting,6,4
book writing,27,8
finance,64,9
t-shirts,144,6
classifieds posting,39,4
xml,172,6
software testing,137,5
windows desktop,168,6
jquery / prototype,86,9
leads,89,9
sales,128,6
virtual assistant,158,4
game design,69,7
marketing,95,3
web search,165,7
powerpoint,117,8
anything goes,15,7
sql,139,5
technical writing,145,9
microsoft access,101,7
python,123,5
caricature &amp; cartoons,38,6
advertising,8,5
video broadcasting,155,6
blog,26,8
illustrator,76,7
photoshop,112,6
website design,166,11
android,13,6
articles,20,5
.net,0,8
mysql,105,7
html,74,9
software architecture,136,7
iphone,81,4
graphic design,72,5
illustration,75,3
c programming,34,7
linux,91,4
wordpress,171,6
copywriting,43,6
web scraping,164,6
joomla,85,5
javascript,84,7
internet marketing,78,4
seo,131,7
mobile phone,103,8
article rewriting,19,9
translation,149,6
animation,14,6
data processing,49,6
video services,156,3
data entry,48,7
css,46,9
facebook marketing,63,6
excel,0,0
php,0,0
logo design,0,0
youtube,0,0
system admin,0,0
banner design,0,0
academic writing,0,0
