skill,skill_id,valuation
t00,0,3.139862028421349
t01,1,6.372888767435275
t02,2,16.829695539568476
t03,3,9.376683578833878
t04,4,6.322233505592946
t05,5,9.808334283423973
t06,6,11.304800541758269
t07,7,18.38460271112456
t08,8,1.093365731752608
t09,9,5.178750452533027
t10,10,11.195541265402154
t11,11,3.1997788198654122
t12,12,8.084291973729718
t13,13,8.514633813395465
t14,14,3.592513802087622
t15,15,19.678954368951754
t16,16,7.404527773734592
t17,17,17.811728942017925
t18,18,19.96840640299211
t19,19,9.4090773905768
