skill,skill_id,valuation
t00,0,7.429436371815993
t01,1,17.2923999791194
t02,2,14.187745341638717
t03,3,11.692138686932834
t04,4,3.066625085880093
t05,5,3.9801472613312057
t06,6,9.394356308352318
t07,7,1.9935684581785844
t08,8,4.535697112631661
t09,9,3.2360243039396286
t10,10,16.702092525203312
t11,11,1.9451550259445796
t12,12,18.368416022390512
t13,13,7.148020030920492
t14,14,13.53845259445823
t15,15,12.54653968143152
t16,16,6.599217069458148
t17,17,8.60911242281764
t18,18,16.5495859864252
t19,19,6.405524644120193
