skill,freq,skill_id,valuation,new_value
concept design,3,41,9.436732530130731,10
typography,2,151,6.123440978498813,8
customer support,5,47,2.4570190758833936,6
latex,1,88,8.458802883562928,9
korean,3,87,7.280390946429375,6
financial markets,3,65,3.237055092384948,11
xxx,2,173,11.796183727789032,9
amazon web services,5,12,4.859699111894209,9
robotics,1,126,3.2174362659989715,9
travel writing,5,150,2.364099276024948,7
bootstrap,2,28,3.4858135806158708,7
arabic,4,17,3.4845956644640297,12
unity 3d,3,152,16.50828596262794,13
embedded software,3,60,30.744914609103546,7
ruby on rails,4,127,11.618736405678522,6
invitation design,1,79,5.722088515499466,11
oracle,2,106,6.71598617505857,13
polish,2,115,3.3302995550883034,4
simplified chinese (china),1,134,24.417084798211512,7
user interface / ia,5,154,14.98616294965129,10
business plans,6,33,17.3523956162447,6
copy typing,12,42,7.794422882805676,8
music,9,104,8.62321315583484,14
youtube,13,174,10.99919689572228,9
reviews,10,125,10.338364992427405,12
proofreading,37,121,9.087490595488674,4
cms,9,40,9.755444263871711,7
project management,17,120,6.8709951091010275,6
virtual assistant,22,158,28.680488285264918,7
greek,6,73,13.336170295615439,9
social networking,37,135,7.195995198838821,5
audio services,29,23,9.739949606252047,7
word,10,170,8.562213273705222,6
ajax,38,10,5.3880240768806456,9
algorithm,10,11,10.8229973781154,11
research,34,124,8.120319671990929,6
prestashop,8,118,1.4202837022008017,7
voice talent,20,161,23.368206665544772,12
perl,10,109,10.091360344807502,9
videography,16,157,7.447831165946251,8
photoshop design,43,113,6.564322261787281,6
accounting,8,6,6.040057241126702,4
actionscript,6,7,1.265248014506389,10
3d rendering,43,3,20.79666810241188,5
pdf,6,108,26.760825552105764,11
c++ programming,34,36,11.021749638386748,8
3d modelling,47,2,12.403094395419776,10
anything goes,22,15,12.822894665296193,3
autocad,19,24,5.078667658713466,11
mac os,8,93,14.385083806492148,9
cad/cam,10,37,6.9892711710433755,7
photo editing,20,110,3.6957059509712114,3
t-shirts,13,144,19.24645072699864,8
sales,9,128,11.800981538581475,11
xml,23,172,4.598300521968474,7
business analysis,10,31,17.592634003265434,6
link building,27,90,11.629803549440858,9
web hosting,25,163,12.067923015884647,9
software testing,30,137,11.165887958765184,8
electronics,17,58,6.608285080925017,5
unix,8,153,6.192757246663923,14
magento,28,94,26.118923817865593,7
jquery / prototype,32,86,1.4055180554493203,5
apache,11,16,23.060361969668175,9
email marketing,6,59,16.472602413643273,5
sem / adwords,6,130,2.6696906118414505,7
engineering,32,61,2.9138043812554777,8
asp,26,21,15.803423030908347,12
3d animation,40,1,7.141289992379567,13
windows server,6,169,9.295655190482258,11
game design,10,69,27.044198721717528,9
mechanical engineering,9,98,12.966168047134461,6
3ds max,20,4,1.764712026171015,12
book writing,8,27,2.8983546355784515,8
database administration,12,50,16.43821471772675,6
after effects,32,9,6.633178821387148,12
spanish,9,138,9.891042053818568,11
marketing,37,95,7.225879531076997,4
technical writing,32,145,10.15343939532062,6
python,20,123,7.004980867191003,7
animation,48,14,16.372206825714105,9
academic writing,62,5,4.9795837686625966,3
.net,54,0,4.005638907764299,14
c programming,47,34,4.064529328535978,8
php,535,114,10.218359258529087,12
linux,74,91,4.2044306281626405,8
internet marketing,87,78,3.2899100127287504,5
data processing,61,49,5.858448891645284,7
css,159,46,29.54974473683529,8
graphic design,474,72,13.904429463720687,10
articles,106,20,13.03163939219417,10
joomla,49,85,4.679957601715033,6
wordpress,167,171,7.242523094871336,8
photoshop,224,112,4.604702712130673,9
software architecture,89,136,4.0907667181361305,6
copywriting,78,43,7.546672927301931,2
illustrator,98,76,14.771548247179242,8
mobile phone,58,103,7.081535302353911,5
excel,105,62,6.607011085839172,10
website design,332,166,7.614093159334723,12
