cost,skills,user_id,user_name
30.0,"['data entry', 'excel', 'web scraping', 'facebook marketing', 'seo']",191.0,w0190
25.0,"['wordpress', 'graphic design', 'website design', 'html', 'css']",351.0,w0350
25.0,"['php', 'css', 'html', 'wordpress', 'photoshop']",538.0,w0537
20.0,"['social networking', 'youtube', 'facebook marketing', 'seo']",297.0,w0296
8.0,"['3d modelling', '3d rendering', '3d animation', '3ds max', 'graphic design']",686.0,w0685
8.0,"['bulk marketing', 'web scraping']",1479.0,w1472
10.0,"['3d modelling', '3d rendering']",688.0,w0687
10.0,"['web search', 'data entry', 'excel', 'virtual assistant']",733.0,w0732
15.0,"['internet marketing', 'sem / adwords']",1232.0,w1228
10.0,"['translation', 'greek', 'technical writing', 'editing']",256.0,w0255
15.0,"['customer support', 'data entry', 'virtual assistant', 'data processing']",1723.0,w1707
20.0,"['graphic design', 'logo design', 'photoshop', 't-shirts', 'photoshop design']",620.0,w0619
15.0,"['joomla', 'php', 'html', 'javascript', 'seo']",753.0,w0752
18.0,"['python', 'excel', 'php', 'data processing', 'web scraping']",546.0,w0545
15.0,"['video services', 'flash', 'after effects', 'animation', '3d animation']",1036.0,w1033
10.0,"['graphic design', 'indesign', 'banner design']",1604.0,w1592
6.0,"['website design', 'php', 'joomla', 'wordpress']",1553.0,w1543
12.0,"['wordpress', 'html', 'php', 'website design', 'graphic design']",1375.0,w1371
8.0,"['translation', 'greek']",1192.0,w1188
15.0,"['php', 'joomla', 'mysql', 'website design', 'javascript']",715.0,w0714
15.0,"['website design', 'graphic design', 'php', 'css', 'wordpress']",104.0,w0103
10.0,"['java', 'excel', 'amazon web services', 'data entry', 'c++ programming']",1054.0,w1051
1.0,"['logo design', 'data entry', 'graphic design']",724.0,w0723
10.0,"['php', 'mysql', 'html', 'ajax', 'ecommerce']",448.0,w0447
15.0,"['facebook marketing', 'social networking', 'internet marketing', 'marketing']",8.0,w0008
19.0,"['video services', 'audio services', 'voice talent', 'youtube', 'videography']",582.0,w0581
15.0,"['graphic design', 'logo design', 'css', 'brochure design']",960.0,w0957
10.0,"['data processing', 'data entry', 'excel']",1225.0,w1221
15.0,"['3d animation', 'after effects', 'animation']",804.0,w0803
10.0,"['excel', 'data processing', 'copy typing', 'word', 'data entry']",764.0,w0763
20.0,"['internet marketing', 'advertising', 'youtube', 'leads']",1421.0,w1416
8.0,"['graphic design', 'photoshop', 'visual basic']",1026.0,w1023
5.0,"['graphic design', 'facebook marketing', 'photoshop', 'illustrator', 'data entry']",1451.0,w1446
15.0,"['php', 'software testing', 'mysql', 'website management']",19.0,w0019
12.0,"['metatrader', 'c programming']",1173.0,w1169
10.0,"['php', 'html', 'website design', 'graphic design', 'wordpress']",308.0,w0307
22.0,"['delphi', 'windows desktop', 'c programming', '.net']",711.0,w0710
5.0,"['php', 'graphic design', 'mysql', 'html']",1100.0,w1097
16.0,"['php', 'mysql', 'software architecture', 'web hosting', 'javascript']",65.0,w0065
10.0,"['marketing', 'leads']",993.0,w0990
