skill,skill_id,valuation
latex,88,7
bootstrap,28,6
user interface / ia,154,8
simplified chinese (china),134,7
forum posting,68,5
oracle,106,8
korean,87,4
covers &amp; packaging,44,6
telecommunications engineering,146,5
amazon web services,12,5
swedish,142,2
japanese,82,6
creative writing,45,6
virtuemart,159,4
xxx,173,7
customer support,47,7
sharepoint,132,4
robotics,126,7
typography,151,5
invitation design,79,7
microsoft exchange,102,5
arabic,17,9
arduino,18,6
polish,115,10
poster design,116,8
financial markets,65,4
travel writing,150,5
concept design,41,4
telemarketing,147,6
embedded software,60,2
powerpoint,117,3
autocad,24,6
business analysis,31,7
sem / adwords,130,8
greek,73,2
database administration,50,7
pdf,108,8
classifieds posting,39,9
python,123,3
t-shirts,144,5
script install,129,6
virtual assistant,158,2
sql,139,3
mechanical engineering,98,8
microcontroller,100,3
after effects,9,6
finance,64,7
spanish,138,7
accounting,6,7
3ds max,4,5
copy typing,42,6
proofreading,121,6
actionscript,7,3
electrical engineering,56,8
3d animation,1,6
link building,90,8
delphi,51,8
photo editing,110,9
visual basic,160,8
matlab &amp; mathematica,97,3
ecommerce,54,9
voice talent,161,8
photography,111,6
3d modelling,2,5
mathematics,96,2
psd to html,122,7
asterisk pbx,22,7
shell script,133,4
videography,157,6
statistics,141,11
flyer design,67,7
ghostwriting,71,5
software testing,137,7
leads,89,4
web search,165,6
research,124,8
drupal,52,7
microsoft access,101,8
marketing,95,3
asp,21,7
game design,69,6
photoshop design,113,5
music,104,6
web hosting,163,4
audio services,23,5
editing,55,4
ebooks,53,5
cms,40,6
prestashop,118,7
xml,172,4
ipad,80,2
c++ programming,36,5
brochure design,29,9
transcription,148,4
social networking,135,9
bulk marketing,30,4
indesign,77,7
advertising,8,7
website management,167,6
electronics,58,6
reviews,125,3
email marketing,59,7
java,83,10
video broadcasting,155,4
business cards,32,6
flash,66,4
algorithm,11,6
project management,120,9
caricature &amp; cartoons,38,6
sales,128,8
windows desktop,168,4
anything goes,15,9
unix,153,5
business plans,33,8
3d rendering,3,8
cad/cam,37,5
blog,26,6
mac os,93,7
ajax,10,5
system admin,143,5
articles,20,6
php,114,7
animation,14,4
copywriting,43,6
joomla,85,4
graphic design,72,8
css,46,3
mysql,105,6
translation,149,7
linux,91,5
banner design,25,8
iphone,81,7
logo design,92,4
illustration,75,4
academic writing,5,4
facebook marketing,63,6
article rewriting,19,8
android,13,6
mobile phone,103,11
wordpress,171,4
c programming,34,5
html,74,5
web scraping,164,7
seo,131,6
software architecture,136,5
photoshop,112,4
internet marketing,78,5
video services,156,3
.net,0,5
javascript,84,7
data entry,0,0
data processing,0,0
website design,0,0
youtube,0,0
word,0,0
illustrator,0,0
excel,0,0
engineering,0,0
unity 3d,0,0
c# programming,0,0
