skill,freq,skill_id,valuation,new_value
non profit start up,2,1013,21.842634189297954,208
ecommerce industry,1,519,17.602825468189153,147
windows programming,1,1604,714.8613540000423,239
writer,1,1617,59.25616742499103,186
canadian french,1,248,60.26355027140581,242
database scripting,1,462,84.31503746143257,123
sql development,1,1355,149.07105406397855,277
textile prints,1,1425,109.80614172172596,234
tax law,1,1398,352.94025448790717,331
science education,0,1255,649.2315591463091,107
community building,1,332,150.38406547849914,85
business rescue,0,225,123.60749966802456,278
sap netweaver,1,1249,74.17376947365327,360
regular expressions,1,1196,12.19311121767958,46
concept artistry,1,352,94.15203218937596,99
plumbing,0,1121,112.99987403175615,167
english tutoring,1,555,168.37750884263718,238
home video,1,710,319.67203081987867,201
communications,1,331,576.1954612506088,260
call center start up,0,243,615.3942009564063,256
textile design,3,1424,36.25476108718578,164
online publishing,4,1030,403.135073230139,428
still life painting,2,1368,114.70630268280931,226
financial forecasting,2,605,24.152028264888585,227
sage,5,1231,35.769324785441796,415
web strategy,2,1573,158.75535276176907,222
retail design,2,1210,23.376511129860774,394
business writing,19,228,114.85888040493343,210
management software,11,887,193.883398302848,133
illustrator,4,727,462.158943614779,113
content strategy,5,368,79.50460548423615,293
character concept,4,264,659.575787275538,270
interpreting,7,763,570.1698695053973,180
windows 7,17,1598,132.7924337293723,318
financial planning,9,607,106.1054840235492,268
tumblr,10,1444,82.86527915796918,228
japanese translation,3,795,609.9420405701326,282
business valuation,3,227,161.90825435525895,200
infusionsoft,7,744,90.37307706069548,133
gambling,4,643,35.456089388780505,275
realist painting,3,1190,172.81658162650336,320
flash design,14,621,20.61268799019891,257
corporate identity kit,6,389,40.84116288952796,229
load balancing,6,863,8.564049394241323,263
aviation,3,146,1.9310702918802858,312
desktop publishing,21,473,28.474043827936363,136
orm,8,1054,72.42724082438491,83
hootsuite,5,712,41.844261521341295,204
letter writing,6,844,531.1053431091215,242
call handling,5,244,314.099045226813,202
informatica,3,741,88.89045036041806,225
paid content,2,1069,31.0985850229582,202
virtualization,12,1507,205.26945046122063,110
fashion photography,2,587,73.99818579425946,116
2d animation,23,4,155.71028790591066,226
filemaker pro,10,594,30.19131841654697,215
iphone app development,26,778,52.60328074772635,167
teaching,29,1402,432.6614726954901,246
proposal writing,15,1165,201.7240392062371,204
ad management,3,37,682.5595996074907,305
ecommerce seo,12,521,83.30272811308566,190
microcontroller,12,932,87.31203027530455,111
mac os,28,872,109.15062930154778,186
database management,22,459,2.5957035709687184,70
microsoft onenote,3,938,80.73361160697466,257
driving,7,504,136.92670514467707,400
stl,5,1369,661.8819215933407,254
comic strip,10,324,412.5315826407896,286
gimp,20,660,24.69532292436006,292
blog marketing,17,180,138.9890651231347,243
viral marketing,5,1505,206.36924294765518,251
sound editing,8,1341,195.7683529621212,183
sales presentations,6,1239,200.92619602215345,209
ad campaigns,6,35,267.7204383317063,314
search engine optimization copywriting (seo),8,1263,63.859533856064,164
other - internet marketing,2,1060,96.68296448033588,287
software engineering,17,1331,150.92713611439743,139
pattern design,2,1073,180.38058452107487,303
stored procedures,13,1370,94.34962394384488,205
medical billing,4,922,123.3794895938694,230
ms word,93,981,76.57141834149311,121
e-books,40,509,29.06859354799833,234
css,731,415,1.8615829213753796,306
zend,114,1634,49.54368130229754,149
responsive wordpress theme,38,1205,80.93853234739123,237
editing,459,524,194.1612131715048,341
training,137,1436,86.90861855423384,377
copywriting,120,379,441.39271578137163,121
proofreading,158,1163,13.05090226547624,99
.net,349,2,14.32029636250803,291
eclipse,59,517,168.8243861931471,182
visual studio,85,1517,111.27384471778718,204
air,33,63,44.11781354423034,262
videos,47,1503,164.10906525923758,230
transcription,81,1437,38.59404117535734,219
data entry,249,443,678.7128292553692,124
powerpoint presentations,32,1138,261.8723492468427,260
codeigniter,114,311,642.6411488168235,236
3d modeling,70,12,189.1556879808733,58
grammar,60,685,36.001666909246985,222
