skill,skill_id,valuation
salesforce.com administration,1244,221
back end programming,151,218
apple developer,96,305
concept artistry,352,336
integrated circuit design,749,172
liveperson,862,134
startup development,1364,264
act crm,28,366
nutrition education,1016,194
ecommerce industry,519,313
itil,792,225
communications,331,325
cassandra,256,165
scala,1252,386
jbpm,803,162
apple iworks,97,264
web,1534,226
medical education,923,137
corporate media,392,275
editorial illustrations,526,154
software programming,1332,257
acrylic painting,26,167
yoga,1629,265
wiki,1596,230
children's book illustration,272,237
coffeescript,312,186
web strategy,1573,187
photodraw,1098,247
ms powerpoint,978,252
online help,1028,121
wix,1610,214
robotics,1221,288
paypal api,1078,140
search engine marketing (sem),1261,319
simulink,1286,266
xml web services,1623,274
open source software,1035,223
database servers,463,189
infusionsoft,744,85
short stories,1281,201
brand management,194,303
appcelerator titanium,95,213
symfony,1388,265
vba programming,1474,199
illustrator,727,271
spanish translation,1345,304
cartooning,254,126
financial accounting,603,159
web servers,1568,245
government agencies,681,230
incorporation,735,254
manual testing,889,402
arduino,113,5
windows desktop,1601,270
logistics,867,199
fashion photography,587,299
media relations,919,226
3d graphics,11,316
smm,1297,227
matlab,908,298
inker,745,244
skinning,1293,323
web application design,1539,182
andriod apps,77,261
edi,523,228
c++ programming,233,147
flowcharts,624,210
software requirements,1333,161
swedish,1383,187
vector design,1477,316
clothing design,298,265
game publishing,648,137
disaster recovery,492,109
public speaking,1174,184
knockoutjs,825,378
pcb layout,1084,302
indonesian,737,241
visual c#,1514,171
clipper,295,126
vietnamese,1504,322
vb.net,1472,249
pay per click,1074,322
consulting,359,411
ghost writing,657,250
web content,1544,282
custom cms,421,377
cartoon,253,167
powerpoint presentations,1138,236
health,702,282
visio,1509,270
ruby,1226,228
virtuemart,1508,270
social media marketing,1315,327
word processing,1612,230
3d animation,9,157
smarty,1296,285
e-books,509,218
sem,1269,313
oscommerce,1055,344
telemarketing,1411,289
advertising,0,0
articles,0,0
consultant,0,0
copywriting,0,0
editing,0,0
magazine articles,0,0
marketing,0,0
newsletters,0,0
press releases,0,0
academic writing,0,0
acrobat,0,0
creative writing,0,0
excel,0,0
indesign,0,0
microsoft,0,0
report writing,0,0
software,0,0
writing,0,0
blogging,0,0
english,0,0
french,0,0
german,0,0
html,0,0
networking,0,0
proofreading,0,0
seo,0,0
social bookmarking,0,0
social networking,0,0
translation,0,0
website content,0,0
3d,0,0
adobe illustrator,0,0
adobe photoshop,0,0
architect,0,0
architecture,0,0
autodesk autocad,0,0
cad,0,0
concept design,0,0
coreldraw,0,0
design,0,0
drafting,0,0
drawing,0,0
presentations,0,0
sketchup,0,0
ajax,0,0
asp,0,0
asp.net,0,0
c,0,0
c#,0,0
c++,0,0
css,0,0
database design,0,0
developer,0,0
dreamweaver,0,0
javascript,0,0
payment gateway integration,0,0
programming,0,0
real estate,0,0
facebook,0,0
google plus,0,0
linkedin,0,0
pinterest,0,0
twitter,0,0
app design,0,0
cover design,0,0
graphic design,0,0
iphone,0,0
logo design,0,0
psd,0,0
website design,0,0
animation,0,0
digital,0,0
fireworks,0,0
flash,0,0
manga,0,0
oil painting,0,0
painting,0,0
3d modeling,0,0
analysis,0,0
assembly,0,0
modeling,0,0
welding,0,0
apache,0,0
authorize.net,0,0
cakephp,0,0
codeigniter,0,0
curl,0,0
drupal,0,0
joomla,0,0
lamp,0,0
linux,0,0
mvc,0,0
mysql,0,0
open source,0,0
oracle,0,0
php,0,0
xhtml,0,0
xml,0,0
zend,0,0
adobe indesign,0,0
analytics,0,0
google analytics,0,0
keyword research,0,0
psd to html,0,0
research,0,0
web design,0,0
webmaster,0,0
wordpress,0,0
.net,0,0
delphi,0,0
jquery,0,0
sql,0,0
sql server,0,0
algorithm development,0,0
algorithms,0,0
bioinformatics,0,0
biotechnology,0,0
data analysis,0,0
focus,0,0
image processing,0,0
industrial,0,0
machine learning,0,0
medical,0,0
processing,0,0
real time,0,0
science,0,0
security,0,0
testing,0,0
video,0,0
video processing,0,0
visualization,0,0
lead generation,0,0
sales,0,0
access,0,0
excel programming,0,0
microsoft word,0,0
ms excel,0,0
ms excel pivot tables,0,0
ms word,0,0
powerpoint,0,0
troubleshooting,0,0
vba,0,0
postgresql,0,0
web development,0,0
yii framework,0,0
zend framework,0,0
artist,0,0
com,0,0
director,0,0
http,0,0
illustration,0,0
print design,0,0
sports,0,0
t-shirt design,0,0
concept art,0,0
digital illustration,0,0
vector illustration,0,0
amazon,0,0
amazon ec2,0,0
android,0,0
app development,0,0
application development,0,0
azure,0,0
blackberry,0,0
cgi,0,0
cgi/perl,0,0
database administration,0,0
ejb,0,0
google maps,0,0
gps,0,0
hibernate,0,0
html5,0,0
https,0,0
ipad,0,0
java,0,0
jboss,0,0
jdbc,0,0
jquery mobile,0,0
jsf,0,0
jsp,0,0
mobile,0,0
mobile application development,0,0
paypal,0,0
paypal integration,0,0
perl,0,0
phonegap,0,0
photo manipulation,0,0
php 5,0,0
python,0,0
sharepoint,0,0
shopify,0,0
social media integration,0,0
struts,0,0
swing,0,0
tomcat,0,0
visual studio,0,0
web programming,0,0
windows,0,0
windows azure,0,0
windows mobile,0,0
